link,org_type,dt,overdue_amount,loan_amount,should_repay_amount,amount,balance,review_y,review_n,cnt,unique_num
07,16,20190701,,94510276.0,953897879.7699991,5564662617.525995,105725692939.32997,0,0,3874258,2141564
01,05,20201001,,,,,0.0,0,0,363,174
03,15,20191201,,,,,0.0,1,0,1,1
05,06,20190901,,,,,3791892.19,0,0,102903,40668
01,09,20190901,,,,,0.0,0,0,1611358,890588
07,10,20190501,,,67010703.000000075,,192518517577347.5,0,0,108393,42938
01,05,20191201,,,,,0.0,0,0,9953,5674
02,25,20200501,,,,,0.0,0,0,4013,3445
03,08,20191101,,,,,0.0,127698,12326,140024,91767
03,25,20190601,,,,,0.0,6,131,137,137
05,17,20200401,,,,,0.0,0,0,33380044,13592938
06,01,20201001,1664.99,,,,0.0,0,0,5901,5617
06,15,20190601,118021137.06999993,,,,12.0,0,0,11771,5839
06,15,20190901,52873185.280000016,,,,337.49,0,0,4242,2907
