var,date_start,date_end,psi,taub
bank_budget__24_amount_cnt_1m,2019-03-01,2019-04-01,inf,
bank_budget__23_cnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__23_cnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__23_cnt_1m,2019-03-01,2019-04-01,0.0,
bank_budget__23_amount_min_6m,2019-03-01,2019-04-01,inf,
bank_budget__23_amount_min_3m,2019-03-01,2019-04-01,inf,
bank_budget__23_amount_min_1m,2019-03-01,2019-04-01,inf,
bank_budget__23_amount_max_6m,2019-03-01,2019-04-01,inf,
bank_budget__23_amount_max_3m,2019-03-01,2019-04-01,inf,
bank_budget__23_amount_max_1m,2019-03-01,2019-04-01,inf,
bank_budget__22_orgcnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__22_orgcnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__22_orgcnt_1m,2019-03-01,2019-04-01,inf,
bank_budget__22_cnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__22_cnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__22_cnt_1m,2019-03-01,2019-04-01,0.0,
bank_budget__22_amount_sum_6m,2019-03-01,2019-04-01,inf,
bank_budget__22_amount_sum_3m,2019-03-01,2019-04-01,inf,
bank_budget__22_amount_sum_1m,2019-03-01,2019-04-01,inf,
bank_budget__22_amount_max_6m,2019-03-01,2019-04-01,inf,
bank_budget__22_amount_max_3m,2019-03-01,2019-04-01,inf,
bank_budget__22_amount_max_1m,2019-03-01,2019-04-01,inf,
bank_budget__22_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__22_amount_cnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__22_amount_cnt_1m,2019-03-01,2019-04-01,0.0,
bank_budget__22_amount_big_6m,2019-03-01,2019-04-01,0.0,
bank_budget__22_amount_big_3m,2019-03-01,2019-04-01,0.0,
bank_budget__22_amount_big_1m,2019-03-01,2019-04-01,0.0,
bank_budget__21_orgcnt_6m,2019-03-01,2019-04-01,0.0,
