num,unique_num,loan_properties,table_name,dt
269116,254411,1,gdl_jrs_msg_parse,2019-04-16
3691423,2711752,3,gdl_jrs_msg_parse,2019-04-16
31895834,28030220,4,gdl_jrs_msg_parse,2019-04-16
2526368,1968716,2,gdl_jrs_msg_parse,2019-04-16
71393278,53513170,0,gdl_jrs_msg_parse,2019-04-16
17811,12848,1,gdl_jrs_msg_parse,2019-04-17
482006,414507,3,gdl_jrs_msg_parse,2019-04-17
1541636,1381742,4,gdl_jrs_msg_parse,2019-04-17
433163,380443,2,gdl_jrs_msg_parse,2019-04-17
6629727,5469118,0,gdl_jrs_msg_parse,2019-04-17
234785,211871,1,gdl_jrs_msg_parse,2019-04-19
3895864,2966207,3,gdl_jrs_msg_parse,2019-04-19
18628701,15030748,4,gdl_jrs_msg_parse,2019-04-19
3143821,2648030,2,gdl_jrs_msg_parse,2019-04-19
58721060,39813194,0,gdl_jrs_msg_parse,2019-04-19
98471,92842,1,gdl_jrs_msg_parse,2019-04-20
3325781,2482761,3,gdl_jrs_msg_parse,2019-04-20
11666574,9593729,4,gdl_jrs_msg_parse,2019-04-20
3039553,2518549,2,gdl_jrs_msg_parse,2019-04-20
41525691,28158338,0,gdl_jrs_msg_parse,2019-04-20
119766,114725,1,gdl_jrs_msg_parse,2019-04-21
3539931,2654016,3,gdl_jrs_msg_parse,2019-04-21
12861353,10373521,4,gdl_jrs_msg_parse,2019-04-21
4312680,3092532,2,gdl_jrs_msg_parse,2019-04-21
43505174,29113072,0,gdl_jrs_msg_parse,2019-04-21
328188,307895,1,gdl_jrs_msg_parse,2019-04-22
3621233,2702953,3,gdl_jrs_msg_parse,2019-04-22
17722612,14611631,4,gdl_jrs_msg_parse,2019-04-22
2603957,2013956,2,gdl_jrs_msg_parse,2019-04-22
49411927,32717353,0,gdl_jrs_msg_parse,2019-04-22
338403,327359,1,gdl_jrs_msg_parse,2019-04-23
3496853,2598302,3,gdl_jrs_msg_parse,2019-04-23
15691695,13051424,4,gdl_jrs_msg_parse,2019-04-23
2317181,1878116,2,gdl_jrs_msg_parse,2019-04-23
56386254,39130014,0,gdl_jrs_msg_parse,2019-04-23
411050,383941,1,gdl_jrs_msg_parse,2019-04-24
3513825,2510849,3,gdl_jrs_msg_parse,2019-04-24
13509520,10938499,4,gdl_jrs_msg_parse,2019-04-24
2086262,1613438,2,gdl_jrs_msg_parse,2019-04-24
70660971,53797499,0,gdl_jrs_msg_parse,2019-04-24
271421,256532,1,gdl_jrs_msg_parse,2019-04-25
3392510,2478437,3,gdl_jrs_msg_parse,2019-04-25
12769581,10180107,4,gdl_jrs_msg_parse,2019-04-25
2749345,2277001,2,gdl_jrs_msg_parse,2019-04-25
52474896,36733955,0,gdl_jrs_msg_parse,2019-04-25
252563,240341,1,gdl_jrs_msg_parse,2019-04-26
2977922,2060547,3,gdl_jrs_msg_parse,2019-04-26
13514789,10952488,4,gdl_jrs_msg_parse,2019-04-26
2156846,1646076,2,gdl_jrs_msg_parse,2019-04-26
53691710,37591624,0,gdl_jrs_msg_parse,2019-04-26
265880,260527,1,gdl_jrs_msg_parse,2019-04-27
2758378,1898906,3,gdl_jrs_msg_parse,2019-04-27
11009168,9087858,4,gdl_jrs_msg_parse,2019-04-27
1216306,907661,2,gdl_jrs_msg_parse,2019-04-27
42128718,27879912,0,gdl_jrs_msg_parse,2019-04-27
383704,338415,1,gdl_jrs_msg_parse,2019-04-28
3119406,2223763,3,gdl_jrs_msg_parse,2019-04-28
13358737,10751506,4,gdl_jrs_msg_parse,2019-04-28
3032586,2543206,2,gdl_jrs_msg_parse,2019-04-28
53082873,34331700,0,gdl_jrs_msg_parse,2019-04-28
390404,374245,1,gdl_jrs_msg_parse,2019-04-29
3226013,2314193,3,gdl_jrs_msg_parse,2019-04-29
11004315,9102251,4,gdl_jrs_msg_parse,2019-04-29
2170094,1796114,2,gdl_jrs_msg_parse,2019-04-29
53414994,36766330,0,gdl_jrs_msg_parse,2019-04-29
303145,239606,1,gdl_jrs_msg_parse,2019-04-30
2942404,1984812,3,gdl_jrs_msg_parse,2019-04-30
11261482,8985586,4,gdl_jrs_msg_parse,2019-04-30
1831470,1456531,2,gdl_jrs_msg_parse,2019-04-30
47975715,30892675,0,gdl_jrs_msg_parse,2019-04-30
69205,64945,1,gdl_jrs_msg_parse,2019-05-01
3434218,2469699,3,gdl_jrs_msg_parse,2019-05-01
11489672,9610338,4,gdl_jrs_msg_parse,2019-05-01
1366449,998195,2,gdl_jrs_msg_parse,2019-05-01
42812385,25792731,0,gdl_jrs_msg_parse,2019-05-01
200943,196095,1,gdl_jrs_msg_parse,2019-05-02
3026365,2133221,3,gdl_jrs_msg_parse,2019-05-02
14515195,11882331,4,gdl_jrs_msg_parse,2019-05-02
1078410,793785,2,gdl_jrs_msg_parse,2019-05-02
53765650,32387848,0,gdl_jrs_msg_parse,2019-05-02
101715,97354,1,gdl_jrs_msg_parse,2019-05-03
2770050,1907369,3,gdl_jrs_msg_parse,2019-05-03
15082849,12751631,4,gdl_jrs_msg_parse,2019-05-03
998529,722610,2,gdl_jrs_msg_parse,2019-05-03
51348765,31462451,0,gdl_jrs_msg_parse,2019-05-03
53703,48731,1,gdl_jrs_msg_parse,2019-05-04
2608327,1816850,3,gdl_jrs_msg_parse,2019-05-04
13755935,11639566,4,gdl_jrs_msg_parse,2019-05-04
1056993,778094,2,gdl_jrs_msg_parse,2019-05-04
55133665,33401241,0,gdl_jrs_msg_parse,2019-05-04
276211,265691,1,gdl_jrs_msg_parse,2019-05-05
3241888,2331839,3,gdl_jrs_msg_parse,2019-05-05
13168013,10685965,4,gdl_jrs_msg_parse,2019-05-05
1697777,1247438,2,gdl_jrs_msg_parse,2019-05-05
50896508,31660927,0,gdl_jrs_msg_parse,2019-05-05
291728,277547,1,gdl_jrs_msg_parse,2019-05-06
4108766,2967607,3,gdl_jrs_msg_parse,2019-05-06
13057785,10717081,4,gdl_jrs_msg_parse,2019-05-06
2067434,1645757,2,gdl_jrs_msg_parse,2019-05-06
48537710,29608028,0,gdl_jrs_msg_parse,2019-05-06
148038,137214,1,gdl_jrs_msg_parse,2019-05-07
3608620,2542720,3,gdl_jrs_msg_parse,2019-05-07
18145802,15425611,4,gdl_jrs_msg_parse,2019-05-07
2068881,1660538,2,gdl_jrs_msg_parse,2019-05-07
48005733,29282824,0,gdl_jrs_msg_parse,2019-05-07
204371,190207,1,gdl_jrs_msg_parse,2019-05-08
3161125,2071967,3,gdl_jrs_msg_parse,2019-05-08
14267273,11712601,4,gdl_jrs_msg_parse,2019-05-08
1608424,1183892,2,gdl_jrs_msg_parse,2019-05-08
49202702,31864358,0,gdl_jrs_msg_parse,2019-05-08
257089,239056,1,gdl_jrs_msg_parse,2019-05-09
3890596,2898434,3,gdl_jrs_msg_parse,2019-05-09
14874387,12150893,4,gdl_jrs_msg_parse,2019-05-09
2934033,2514243,2,gdl_jrs_msg_parse,2019-05-09
40817110,26371508,0,gdl_jrs_msg_parse,2019-05-09
234408,221742,1,gdl_jrs_msg_parse,2019-05-10
2854574,1802286,3,gdl_jrs_msg_parse,2019-05-10
13952925,11583486,4,gdl_jrs_msg_parse,2019-05-10
2865175,2306695,2,gdl_jrs_msg_parse,2019-05-10
33658140,21397738,0,gdl_jrs_msg_parse,2019-05-10
52806,47973,1,gdl_jrs_msg_parse,2019-05-11
2168731,1479775,3,gdl_jrs_msg_parse,2019-05-11
10395122,8605424,4,gdl_jrs_msg_parse,2019-05-11
1324110,1031446,2,gdl_jrs_msg_parse,2019-05-11
24522558,14981202,0,gdl_jrs_msg_parse,2019-05-11
80803,75657,1,gdl_jrs_msg_parse,2019-05-12
2707438,1761980,3,gdl_jrs_msg_parse,2019-05-12
9025773,7389408,4,gdl_jrs_msg_parse,2019-05-12
1025453,770315,2,gdl_jrs_msg_parse,2019-05-12
22659764,14084584,0,gdl_jrs_msg_parse,2019-05-12
158657,145875,1,gdl_jrs_msg_parse,2019-05-13
2806416,1887641,3,gdl_jrs_msg_parse,2019-05-13
12734367,10259322,4,gdl_jrs_msg_parse,2019-05-13
1798845,1395994,2,gdl_jrs_msg_parse,2019-05-13
45327350,33968782,0,gdl_jrs_msg_parse,2019-05-13
258883,248040,1,gdl_jrs_msg_parse,2019-05-14
2722557,1830210,3,gdl_jrs_msg_parse,2019-05-14
9298615,6946647,4,gdl_jrs_msg_parse,2019-05-14
