var,0,1,2,3,4,9999,dt
score_z,431,156588,11605218,2115695086,11262800,0,2019-08-12
score_x,0,151015,2099197071,39372037,0,0,2019-08-12
score_x2,127373,4082177,2107519405,26991168,0,0,2019-08-12
score_z2,1263,225601,10065832,2119796385,8631042,0,2019-08-12
score_z,406,144958,11933691,2118847630,11136821,0,2019-08-19
score_x,0,160981,2103154880,38747645,0,0,2019-08-19
score_x2,130671,4307739,2110624824,27000272,0,0,2019-08-19
score_z2,1008,205034,10320981,2122978463,8558020,0,2019-08-19
score_z,404,152625,12072926,2127138733,11175452,0,2019-08-26
score_x,0,172721,2111728639,38638780,0,0,2019-08-26
score_x2,138419,4587178,2118933856,26880687,0,0,2019-08-26
score_z2,1056,214529,10578959,2131133526,8612070,0,2019-08-26
score_z,466,166275,11342129,2174269594,15269527,0,2019-09-02
score_x,0,250259,2165897422,34900310,0,0,2019-09-02
score_x2,163190,5330955,2163226170,32327676,0,0,2019-09-02
score_z2,1176,212946,9741318,2179992643,11099908,0,2019-09-02
score_z,295,135650,11094750,2187700622,15182503,0,2019-09-09
score_x,0,168531,2179604873,34340416,0,0,2019-09-09
score_x2,113028,4094609,2177825443,32080740,0,0,2019-09-09
score_z2,658,173298,9471007,2193564111,10904746,0,2019-09-09
score_z,343,151336,11628140,2191134061,15013145,0,2019-09-16
score_x,0,184308,2183954856,33787861,0,0,2019-09-16
score_x2,116586,4473377,2180991450,32345612,0,0,2019-09-16
score_z2,629,182491,9890541,2197021736,10831628,0,2019-09-16
score_z,408,161401,11873309,2194924049,14849282,0,2019-09-23
score_x,0,195026,2188153890,33459533,0,0,2019-09-23
score_x2,119804,4886710,2184849612,31952323,0,0,2019-09-23
score_z2,698,192681,10340115,2200390065,10884890,0,2019-09-23
score_z,270,143044,11655539,2197135641,14907640,0,2019-09-30
score_x,0,183043,2190261908,33397183,0,0,2019-09-30
score_x2,114226,4730531,2187587474,31409903,0,0,2019-09-30
score_z2,495,173218,10079099,2202714298,10875024,0,2019-09-30
score_z,515,187258,12011346,2194743622,17342831,0,2019-10-07
score_x,0,278163,2189913218,34094191,0,0,2019-10-07
score_x2,127174,4817574,2182154876,37185948,0,0,2019-10-07
score_z2,1303,237442,10600192,2200466109,12980526,0,2019-10-07
score_z,526,197265,12378969,2198469465,17166669,0,2019-10-14
score_x,0,264314,2194506783,33441797,0,0,2019-10-14
score_x2,121969,4602292,2186587000,36901633,0,0,2019-10-14
score_z2,1085,236377,10821708,2204337467,12816257,0,2019-10-14
score_z,413,182652,12369440,2199255466,17095115,0,2019-10-21
score_x,0,262377,2195215308,33425401,0,0,2019-10-21
score_x2,121665,4694833,2187351688,36734900,0,0,2019-10-21
score_z2,980,226458,11028668,2204851681,12795299,0,2019-10-21
score_z,378,179731,12343052,2202858836,17106280,0,2019-10-28
score_x,0,250671,2198880315,33357291,0,0,2019-10-28
score_x2,112509,4624886,2191209511,36541371,0,0,2019-10-28
score_z2,909,221881,10924718,2208513909,12826860,0,2019-10-28
score_z,904,260539,12478995,2179979414,17653902,0,2019-11-04
score_x,0,320909,2173294985,36757860,0,0,2019-11-04
score_x2,132163,4987249,2163419380,41834962,0,0,2019-11-04
score_z2,2282,295669,10751301,2184126750,15197752,0,2019-11-04
score_z,916,241785,12361585,2190095868,17525689,0,2019-11-11
score_x,0,260434,2183724921,36240488,0,0,2019-11-11
score_x2,103051,4323069,2174327102,41472621,0,0,2019-11-11
score_z2,1969,268607,10599654,2194384353,14971260,0,2019-11-11
score_z,517,173038,12251828,2186432400,17524577,0,2019-11-18
score_x,0,224093,2179788762,36369505,0,0,2019-11-18
score_x2,85479,3927167,2171139196,41230518,0,0,2019-11-18
score_z2,1286,203326,10495619,2190808895,14873234,0,2019-11-18
score_z,480,169426,12269294,2190007042,17542373,0,2019-11-25
score_x,0,220078,2183377697,36390840,0,0,2019-11-25
score_x2,78183,3815826,2174698036,41396570,0,0,2019-11-25
score_z2,1253,194354,10522145,2194402509,14868354,0,2019-11-25
score_z,997,259597,11931019,2168438465,17000658,0,2019-12-02
score_x,0,348166,2161794334,35488236,0,0,2019-12-02
score_x2,123252,5145669,2147018914,45342901,0,0,2019-12-02
score_z2,1943,268426,10140293,2170806681,16413393,0,2019-12-02
score_z,966,265144,11867486,2181880157,16833552,0,2019-12-09
score_x,0,300707,2175721312,34825286,0,0,2019-12-09
score_x2,106268,4452473,2161621825,44666739,0,0,2019-12-09
score_z2,1543,251815,10138106,2184211056,16244785,0,2019-12-09
score_z,1109,275329,12339096,2189215707,16666243,0,2019-12-16
score_x,0,290514,2183985771,34221199,0,0,2019-12-16
score_x2,101889,4597667,2169229774,44568154,0,0,2019-12-16
score_z2,1407,245152,10438685,2191712550,16099690,0,2019-12-16
score_z,947,260805,12556133,2187974568,16588386,0,2019-12-23
score_x,0,289642,2182920713,34170484,0,0,2019-12-23
score_x2,100223,4807506,2168218214,44254896,0,0,2019-12-23
score_z2,1328,237883,10764777,2190222148,16154703,0,2019-12-23
score_z,823,242486,12224821,2191746890,16593691,0,2019-12-30
score_x,0,271897,2186327041,34209773,0,0,2019-12-30
score_x2,93851,4571647,2172396152,43747061,0,0,2019-12-30
score_z2,1173,223270,10432470,2194020075,16131723,0,2019-12-30
score_z,780,347736,11724900,2184527306,19091737,0,2020-01-06
score_x,0,336278,2176307840,39048341,0,0,2020-01-06
score_x2,106127,5188015,2159782698,50615619,0,0,2020-01-06
score_z2,1375,346348,11271288,2184888163,19185285,0,2020-01-06
score_z,486,316257,11913608,2198533614,18940099,0,2020-01-13
score_x,0,305850,2190912776,38485438,0,0,2020-01-13
score_x2,94526,4767861,2174492711,50348966,0,0,2020-01-13
score_z2,852,312034,11208211,2199210210,18972757,0,2020-01-13
score_z,105,248267,14310902,2199575160,16806134,0,2020-09-07
score_x,0,170909,2185940853,44828806,0,0,2020-09-07
score_x2,42047,5066454,2164442597,61389470,0,0,2020-09-07
score_z2,600,284965,13823705,2195565415,21265883,0,2020-09-07
score_z,88,215997,15032670,2220381833,16556506,0,2020-09-21
score_x,0,163639,2207788768,44234687,0,0,2020-09-21
score_x2,35995,5336993,2185361271,61452835,0,0,2020-09-21
score_z2,435,242242,14149497,2216798179,20996741,0,2020-09-21
score_z,100,222791,14552769,2211656089,16638619,0,2020-09-14
score_x,0,161118,2198511175,44398075,0,0,2020-09-14
score_x2,38906,4821537,2177168409,61041516,0,0,2020-09-14
score_z2,484,254206,13795953,2207918403,21101322,0,2020-09-14
